,item_id,total_dur,weight
0,0,147169,11.89934366015816
1,1,163706,12.005833523593436
2,2,12655,9.445886690007436
3,3,87924,11.384239457342183
4,4,17419,9.765374250406493
5,5,21208,9.962180898875346
6,6,4154,8.332067707289548
7,7,50,3.9318256327243257
8,8,5740,8.655388690167637
9,9,2778,7.929846429742503
10,10,20995,9.95208722237219
11,11,15,2.772588722239781
12,12,282576,12.55170635880085
13,13,25392,10.142228824473392
14,14,865261665,20.57854252319727
15,15,3577,8.182559264068665
16,16,58727,10.980671893790618
17,17,11246,9.327856705404022
18,18,6545,8.786609455061125
19,19,121398,11.706837920341318
20,20,23440,10.062241904896988
21,21,22708,10.030516600664669
22,22,899,6.802394763324311
23,23,356335,12.78362938494063
24,24,39746794,17.49803976688311
25,25,190194,12.155805140630118
26,26,5856,8.675392806089782
27,27,7052,8.86120833720818
28,28,3129262,14.956308071531724
29,29,83447,11.331978962355807
30,30,51178,10.843084570640517
31,31,51,3.9512437185814275
32,32,466644,13.05332407626811
33,33,15,2.772588722239781
34,34,1629,7.396335293800808
35,35,2663320,14.79508439827514
36,36,20674,9.936680519891892
37,37,5148,8.546557800046141
38,38,83036,11.327041570579484
39,39,32943,10.40256442926757
40,40,81428,11.307486753899465
41,41,1611,7.385230923066573
42,42,193227,12.171626117795805
43,43,4040,8.304247465078474
44,44,6840,8.830689198760998
45,45,443,6.095824562432225
46,46,64034,11.067185087860173
47,47,11611471,16.26750413288962
48,48,16082,9.685518092495647
49,49,922,6.827629234502852
50,50,20063,9.906682443432647
51,51,43452,10.679435173189221
52,52,139568,11.846314381613514
53,53,168150,12.0326176642218
54,54,18893,9.84659969032908
55,55,8320,9.02653771890043
56,56,24295,10.098067006725584
57,57,672,6.511745329644728
58,58,137893,11.834240553045111
59,59,7764,8.957381735582787
60,60,8257,9.018937706446035
61,62,20037,9.905385749819208
62,63,19,2.995732273553991
63,64,10994,9.305195902988862
64,65,7252,8.889170455363413
65,66,219660,12.299840727822186
66,67,4813,8.479283618343016
67,68,10267,9.236787541991031
68,70,231694,12.353177130558795
69,71,51854,10.856206641023835
70,72,6,1.9459101490553132
71,73,37687,10.537097020379877
72,74,14,2.70805020110221
73,75,1158,7.055312843339752
74,76,70050,11.156978827180746
75,77,526,6.267200548541362
76,78,1884555,14.44920280735288
77,79,692253,13.447708219275814
78,80,30470,10.324530690607611
79,81,23,3.1780538303479458
80,82,634,6.453624998892692
81,83,1971,7.586803535162581
82,84,68272,11.13126965261369
83,85,6426214,15.675896275925815
84,86,127761,11.757924437118275
85,87,5525,8.617219505483362
86,88,612,6.418364935936212
87,89,381434,12.851695735111678
88,90,44916,10.712571621225875
89,91,113913,11.64319905671944
90,92,18,2.9444389791664403
91,93,204,5.3230099791384085
92,94,12502,9.433723894495
